,kasus,label
0,"['jakarta', 'polisi', 'terima', 'lapor', 'mantan', 'juru', 'bicara', 'jubir', 'psi', 'dedek', 'prayudi', 'uki', 'kait', 'duga', 'ancam', 'ketua', 'bappilu', 'partai', 'demokrat', 'pd', 'andi', 'arief', 'polisi', 'selidik', 'lapor', 'tanggal', 'juni', 'kemarin', 'inisial', 'dp', 'kerja', 'wiraswasta', 'lapor', 'akun', 'twitter', 'sangkut', 'terima', 'cuit', 'akun', 'media', 'sosial', 'sangkut', 'lapor', 'akun', 'lp', 'terima', 'kemarin', 'kabid', 'humas', 'polda', 'metro', 'jaya', 'kombes', 'yusri', 'yunus', 'polda', 'metro', 'jaya', 'rabu', 'yusri', 'lapor', 'polisi', 'uki', 'lapor', 'akun', 'twitter', 'polisi', 'dalam', 'milik', 'akun', 'teliti', 'lapor', 'akun', 'twitter', 'milik', 'akun', 'dalam', 'teliti', 'sambung', 'pasti', 'akun', 'andi', 'arief', 'yusri', 'simpul', 'milik', 'akun', 'lapor', 'uki', 'andi', 'arief', 'turut', 'polisi', 'selidik', 'lapor', 'landas', 'asas', 'praduga', 'salah', 'langsung', 'praduga', 'salah', 'nama', 'akun', 'dunia', 'maya', 'lapor', 'akun', 'lapor', 'saudara', 'dp', 'laki', 'laki', 'wiraswasta', 'tinggal', 'jaksel', 'yusri', 'lapor', 'ditindaklanjuti', 'direskrimsum', 'polda', 'metro', 'jaya', 'polisi', 'yusri', 'teliti', 'lapor', 'layak', 'lidi', 'lp', 'nya', 'kemarin', 'sore', 'nyampe', 'terima', 'uu', 'ite', 'arah', 'subdit', 'siber', 'krimsus', 'polda', 'metro', 'jaya', 'mudah', 'mudah', 'mekanisme', 'teliti', 'tentu', 'lidi', 'sesuai', 'pasal', 'sangka', 'uu', 'ite', 'sangkut', 'lapor', 'terima', 'cuit', 'akun', 'imbuh', 'lapor', 'ancam', 'berita', 'mantan', 'jubir', 'psi', 'dedek', 'prayudi', 'lapor', 'ketua', 'bappilu', 'partai', 'demokrat', 'andi', 'arief', 'polisi', 'pria', 'akrab', 'sapa', 'uki', 'lapor', 'andi', 'arief', 'kait', 'duga', 'ancam', 'lapor', 'uki', 'register', 'nomor', 'lp', 'b', 'vi', 'spkt', 'polda', 'metro', 'jaya', 'tanggal', 'juni', 'turut', 'andi', 'arief', 'cedera', 'demokrasi', 'politikus', 'partai', 'demokrat', 'pd', 'cipta', 'panca', 'laksana', 'komentar', 'cuit', 'uki', 'kondisi', 'uang', 'negara', 'cuit', 'panca', 'balas', 'uki', 'unggah', 'foto', 'link', 'berita', 'andi', 'arief', 'gerebek', 'hotel', 'andi', 'arief', 'cuit', 'minggu', 'street', 'justice', 'bukti', 'uki', 'bentuk', 'duga', 'ancam']",ancaman
1,"['surabaya', 'orang', 'aman', 'polda', 'jatim', 'sebar', 'ancam', 'gorok', 'mahfud', 'md', 'pulang', 'pamekasan', 'madura', 'video', 'youtube', 'isi', 'ancam', 'empat', 'sangka', 'muchammad', 'nawawi', 'gus', 'nawawi', 'warga', 'dusun', 'warungdowo', 'selatan', 'pohjentrek', 'pasuruan', 'abdul', 'hakam', 'warga', 'dusun', 'krajan', 'grati', 'pasuruan', 'moch', 'sirojuddin', 'warga', 'dusun', 'krajan', 'grati', 'pasuruan', 'samsul', 'had', 'warga', 'dusun', 'rembang', 'grati', 'pasuruan', 'dirreskrimsus', 'polda', 'jawa', 'timur', 'kombes', 'gidion', 'arif', 'setyawan', 'papar', 'empat', 'sangka', 'ancam', 'sifat', 'personal', 'mahfud', 'md', 'ancam', 'prof', 'mahfud', 'md', 'ancam', 'pulang', 'pamekasan', 'gorok', 'sifat', 'personal', 'layak', 'jadi', 'konten', 'youtube', 'gidion', 'rilis', 'mapolda', 'jatim', 'jalan', 'ahmad', 'yani', 'surabaya', 'minggu', 'gidion', 'empat', 'sangka', 'asal', 'lapor', 'polisi', 'beda', 'tetap', 'gus', 'nawawi', 'ancam', 'channel', 'youtubenya', 'akun', 'amazing', 'pasuruan', 'telusur', 'siber', 'sangka', 'sebar', 'media', 'sosial', 'polisi', 'sebut', 'sangka', 'anggota', 'simpatisan', 'fpi', 'kenal', 'gabung', 'grup', 'bela', 'habib', 'rizieq', 'struktur', 'sangkut', 'aku', 'anggota', 'organisasi', 'masyarakat', 'fpi', 'gidion', 'gidion', 'sebut', 'sangka', 'anggota', 'fpi', 'muchammad', 'nawawi', 'wakil', 'bidang', 'organisasi', 'fpi', 'abdul', 'hakam', 'anggota', 'hilmi', 'hilal', 'merah', 'indonesia', 'organisasi', 'sayap', 'fpi', 'sangka', 'simpatisan', 'fpi', 'gidion', 'empat', 'sangka', 'aku', 'libat', 'fpi', 'gabung', 'grup', 'whatsapp', 'front', 'bela', 'ib', 'hrs', 'grup', 'persepsi', 'fakta', 'grup', 'grup', 'nama', 'front', 'bela', 'ib', 'hrs', 'rekan', 'rekan', 'simpul', 'terang', 'iya', 'masuk', 'organisasi', 'massa', 'gidion', 'polisi', 'buru', 'sangka', 'gidion', 'sebut', 'buru', 'video', 'tajuk', 'ingat', 'keras', 'warga', 'madura', 'mahfud', 'md', 'ajar', 'habib', 'rizieq', 'akun', 'youtube', 'amazing', 'pasuruan', 'ngomong', 'konten', 'cari', 'hilang', 'hilang', 'gidion', 'gidion', 'laku', 'serah', 'polisi', 'sadar', 'salah', 'nyerahkan', 'hilang', 'sengaja', 'provokasi', 'gidion']",ancaman
2,"['jakarta', 'polisi', 'tangkap', 'pria', 'inisial', 'ys', 'kait', 'peras', 'ancam', 'gabriella', 'larasati', 'video', 'syur', 'laku', 'aku', 'video', 'syur', 'media', 'sosial', 'kabid', 'humas', 'polda', 'metro', 'jaya', 'kombes', 'yusri', 'yunus', 'laku', 'ys', 'video', 'syur', 'gabriella', 'larasati', 'ujung', 'viral', 'bekal', 'video', 'viral', 'ys', 'peras', 'gabriella', 'larasati', 'media', 'sosial', 'mepet', 'video', 'viral', 'crop', 'edit', 'kirim', 'akun', 'media', 'sosial', 'lapor', 'saudari', 'gl', 'yusri', 'polda', 'metro', 'jaya', 'jakarta', 'kamis', 'gabriella', 'laku', 'ys', 'gabriella', 'kirim', 'uang', 'ancam', 'memviralkannya', 'media', 'sosiall', 'kirim', 'media', 'sosial', 'lapor', 'kalimat', 'nggak', 'viral', 'kirim', 'uang', 'imbuh', 'yusri', 'ys', 'aju', 'nominal', 'uang', 'kirim', 'gabriella', 'larasati', 'ancam', 'gabriella', 'lapor', 'ancam', 'peras', 'polda', 'metro', 'jaya', 'feburari', 'lapor', 'yusri', 'gabriella', 'larasati', 'aku', 'per', 'video', 'viral', 'video', 'syur', 'proses', 'polres', 'metro', 'jakarta', 'barat', 'aku', 'situ', 'per', 'video', 'syur', 'lapor', 'ancam', 'salah', 'akun', 'ancam', 'sangkut', 'peras', 'terang', 'yusri', 'laku', 'aman', 'sabtu', 'medan', 'sumatera', 'utara', 'tangkap', 'laku', 'polisi', 'hasil', 'identifikasi', 'akun', 'instagram', 'milik', 'ys', 'akibat', 'buat', 'laku', 'jerat', 'pasal', 'juncto', 'pasal', 'uu', 'ite', 'ancam', 'maksimal', 'penjara', 'ys', 'tahan', 'rutan', 'polda', 'metro', 'jaya']",ancaman
3,"['jakarta', 'sangka', 'ancam', 'gorok', 'menko', 'polhukam', 'mahfud', 'md', 'serah', 'ketua', 'komisi', 'iii', 'dpr', 'ri', 'herman', 'herry', 'polda', 'jatim', 'depan', 'mediasi', 'restorative', 'justice', 'tangan', 'ancam', 'mahfud', 'md', 'sidik', 'acu', 'telegram', 'kapolri', 'kait', 'tangan', 'perkara', 'uu', 'ite', 'polda', 'jatim', 'depan', 'mediasi', 'restorative', 'justice', 'gali', 'mens', 'rea', 'niat', 'laku', 'niat', 'korban', 'maaf', 'laku', 'herman', 'herry', 'wartawan', 'selasa', 'herman', 'herry', 'dorong', 'polda', 'jatim', 'gelar', 'perkara', 'bareskrim', 'polri', 'telegram', 'kapolri', 'jenderal', 'listyo', 'sigit', 'prabowo', 'tangan', 'uu', 'ite', 'jadi', 'dasar', 'tangan', 'ancam', 'sesuai', 'telegram', 'polda', 'jatim', 'gelar', 'perkara', 'dirtipidsiber', 'bareskrim', 'langkah', 'langkah', 'perhati', 'polda', 'jatim', 'tentu', 'langkah', 'langkah', 'hukum', 'sangka', 'anggota', 'komisi', 'iii', 'dpr', 'fraksi', 'gerindra', 'habibburokhman', 'sepakat', 'herman', 'hery', 'polisi', 'depan', 'restorative', 'justice', 'harap', 'polri', 'depan', 'dekat', 'restorative', 'justice', 'perkara', 'habiburokhman', 'hubung', 'pisah', 'waketum', 'gerindra', 'ancam', 'gorok', 'mahfud', 'md', 'latar', 'politik', 'nilai', 'laku', 'emosional', 'sadar', 'konsekuensi', 'hukum', 'tangkap', 'latar', 'politik', 'si', 'ancam', 'emosional', 'sadar', 'tindak', 'masuk', 'ranah', 'langgar', 'hukum', 'habibburokhman', 'dorong', 'tuntas', 'dialog', 'mahfud', 'md', 'laku', 'asal', 'daerah', 'mahfud', 'si', 'ancam', 'kampung', 'halaman', 'baik', 'depan', 'dialog', 'laku', 'tantang', 'menkopolhukam', 'mahfud', 'md', 'sampang', 'madura', 'serah', 'laku', 'buron', 'polisi', 'buat', 'video', 'ancam', 'gorok', 'mahfud', 'md', 'laku', 'turmudi', 'badritamam', 'warga', 'karang', 'nang', 'sampang', 'serah', 'senin', 'kasubdit', 'siber', 'v', 'polda', 'jatim', 'akbp', 'wildan', 'benar', 'laku', 'buat', 'video', 'nada', 'ancam', 'gorok', 'mahfud', 'md', 'video', 'judul', 'ingat', 'keras', 'warga', 'madura', 'mahfud', 'md', 'ajar', 'habib', 'rizieq', 'akun', 'youtube', 'amazing', 'pasuruan', 'viral', 'media', 'sosial']",ancaman
4,"['surabaya', 'adil', 'negeri', 'bondowoso', 'vonis', 'sekda', 'bondowoso', 'nonaktif', 'syaifullah', 'salah', 'syaifullah', 'vonis', 'hukum', 'penjara', 'putus', 'majelis', 'hakim', 'pimpin', 'daniel', 'mario', 'syaifullah', 'denda', 'juta', 'subsider', 'kurung', 'saudara', 'dakwa', 'sah', 'langgar', 'undang', 'undang', 'ite', 'dakwa', 'jaksa', 'daniel', 'mario', 'putus', 'senin', 'denda', 'bayar', 'tambah', 'kurung', 'penjara', 'daniel', 'mario', 'sidang', 'putus', 'perkara', 'sekda', 'bondowoso', 'nonaktif', 'syaifullah', 'jadwal', 'desember', 'syaifullah', 'nyata', 'papar', 'covid', 'sidang', 'tunda', 'sidang', 'putus', 'syaifullah', 'nyata', 'sembuh', 'jalan', 'isolasi', 'mandiri', 'sidang', 'putus', 'hadir', 'nasihat', 'hukum', 'syaifullah', 'duduk', 'kursi', 'sakit', 'pn', 'bondowoso', 'ancam', 'keras', 'kepala', 'bkd', 'alun', 'taufana', 'jalan', 'periksa', 'polisi', 'tetap', 'syaifullah', 'sangka', 'sidang', 'jaksa', 'tuntut', 'tuntut', 'syaifullah', 'hukum', 'denda', 'juta']",ancaman
5,"['bondowoso', 'polisi', 'limpah', 'perkara', 'ancam', 'keras', 'sekda', 'bondowoso', 'syaifullah', 'kejar', 'limpah', 'berkas', 'nyata', 'lengkap', 'kasi', 'intel', 'kejar', 'bondowoso', 'limpah', 'tahap', 'ii', 'polres', 'bondowoso', 'sidik', 'perkara', 'limpah', 'berkas', 'sangka', 'terima', 'limpah', 'tahap', 'ii', 'perkara', 'sekda', 'polres', 'kasi', 'intel', 'kejar', 'sucipto', 'wartawan', 'selasa', 'tahan', 'sucipto', 'wenang', 'sepenuh', 'jaksa', 'tuntut', 'jpu', 'wenang', 'subyektif', 'tahan', 'pasti', 'timbang', 'jpu', 'kabur', 'ulang', 'buat', 'hilang', 'barang', 'bukti', 'gantung', 'jpu', 'nya', 'sucipto', 'sekda', 'bondowoso', 'syaifullah', 'lapor', 'mantan', 'kepala', 'badan', 'pegawai', 'daerah', 'bkd', 'perintah', 'kabupaten', 'alun', 'taufana', 'polisi', 'duga', 'ancam', 'jadi', 'syaifullah', 'duga', 'ancam', 'bunuh', 'telepon', 'alun', 'taufana', 'kepala', 'bkd', 'nilai', 'hambat', 'proses', 'lantik', 'sekda', 'yg', 'laksana', 'silam', 'lapor', 'alun', 'taufana', 'polisi', 'lantas', 'lidi', 'sidi', 'syaifullah', 'tetap', 'sangka', 'tahan', 'syaifullah', 'sangka', 'langgar', 'pasal', 'b', 'uu', 'nomor', 'ubah', 'uu', 'no', 'informasi', 'transaksi', 'elektronik', 'ite', 'pasal', 'ayat', 'juncto', 'pasal', 'uu', 'no', 'ite', 'juncto', 'pasal', 'kuhp']",ancaman
6,"['jakarta', 'polisi', 'tangkap', 'yy', 'warga', 'tapos', 'depok', 'jawa', 'barat', 'lantar', 'presiden', 'joko', 'widodo', 'jokowi', 'mati', 'ancam', 'ledak', 'asrama', 'mako', 'brimob', 'kelapa', 'depok', 'ucap', 'lontar', 'yy', 'whatsapp', 'group', 'sangka', 'duga', 'tindak', 'pidana', 'ancam', 'presiden', 'jokowi', 'ancam', 'ledak', 'asrama', 'brimob', 'polri', 'kelapa', 'karo', 'penmas', 'divisi', 'humas', 'polri', 'brigjen', 'dedi', 'prasetyo', 'detikcom', 'rabu', 'dedi', 'tangkap', 'subdit', 'direktorat', 'tindak', 'pidana', 'siber', 'bareskrim', 'polri', 'selasa', 'juni', 'wib', 'rumah', 'yy', 'tangkap', 'sangka', 'yy', 'polisi', 'informasi', 'cakap', 'whatsapp', 'group', 'silaturahmi', 'isi', 'tulis', 'sangka', 'yy', 'cakap', 'grup', 'tanggal', 'juni', 'wib', 'sangka', 'yy', 'kirim', 'pesan', 'isi', 'tanggal', 'jokowi', 'mati', 'dedi', 'wib', 'tulis', 'tunggu', 'berita', 'ledak', 'asrama', 'brimob', 'kelapa', 'tanggal', 'sambung', 'dedi', 'kasubdit', 'direktorat', 'tindak', 'pidana', 'siber', 'bareskrim', 'polri', 'kombes', 'dan', 'kustoni', 'whatsapp', 'group', 'nama', 'silaturahmi', 'anggota', 'komunitas', 'dukung', 'paslon', 'capres', 'dan', 'sebut', 'paslon', 'grup', 'whatsapp', 'silaturahmi', 'komunitas', 'dukung', 'salah', 'pasang', 'calon', 'presiden', 'milu', 'risi', 'orang', 'sangka', 'yy', 'salah', 'admin', 'grup', 'dan', 'sidik', 'dan', 'terang', 'yy', 'aku', 'motif', 'tulis', 'kalimat', 'eks', 'kenal', 'dukung', 'militan', 'salah', 'paslon', 'capres', 'ancam', 'presiden', 'asrama', 'brimob', 'polri', 'kelapa', 'mei', 'wib', 'sangka', 'rumah', 'aspirasi', 'posko', 'medis', 'posko', 'salah', 'paslon', 'capres', 'jalan', 'cut', 'meutia', 'jakarta', 'pusat', 'samping', 'masjid', 'cut', 'meutia', 'terang', 'dan', 'dasar', 'aku', 'yy', 'polisi', 'dan', 'maksud', 'datang', 'yy', 'rawan', 'salah', 'paslon', 'giat', 'demonstrasi', 'bawaslu', 'buat', 'sangka', 'jerat', 'pasal', 'juncto', 'pasal', 'b', 'uu', 'nomor', 'ubah', 'uu', 'nomor', 'ite', 'ancam', 'hukum', 'penjara', 'denda', 'bayak', 'rp', 'juta', 'pasal', 'pasal', 'a', 'pasal', 'uu', 'nomor', 'ubah', 'uu', 'nomor', 'tetap', 'perppu', 'nomor', 'berantas', 'tindak', 'pidana', 'terorisme', 'undang', 'undang', 'ancam', 'hukum', 'singkat', 'penjara', 'dan', 'jabar']",ancaman
7,"['garut', 'anggota', 'dprd', 'garut', 'inisial', 'e', 'polisi', 'duga', 'ancam', 'bunuh', 'pria', 'nama', 'dik', 'polisi', 'e', 'lapor', 'badan', 'hormat', 'bk', 'dprd', 'garut', 'ketua', 'bk', 'dprd', 'garut', 'dadang', 'sudrajat', 'benar', 'terima', 'adu', 'masyarakat', 'e', 'bk', 'telusur', 'lapor', 'dadang', 'adu', 'terima', 'bk', 'senin', 'bk', 'klarifikasi', 'sangkut', 'dadang', 'dadang', 'konsisten', 'tugas', 'menindaklanjuti', 'lapor', 'bk', 'dprd', 'garut', 'panggil', 'e', 'klarifikasi', 'terang', 'e', 'bk', 'pinta', 'terang', 'perempuan', 'dadang', 'besar', 'besar', 'bukti', 'langgar', 'etika', 'sesuai', 'atur', 'laku', 'dprd', 'e', 'ancam', 'sanksi', 'terang', 'ahli', 'masyarakat', 'lapor', 'tenang', 'sabar', 'objektif', 'jalan', 'wajib', 'tutup', 'dadang', 'kuasa', 'hukum', 'dik', 'syam', 'yousef', 'lapor', 'beda', 'polda', 'jabar', 'bk', 'lapor', 'duga', 'ancam', 'keras', 'takut', 'nakuti', 'pasal', 'b', 'undang', 'undang', 'ite', 'bk', 'dprd', 'yousef', 'lapor', 'duga', 'langgar', 'etika', 'moral', 'lapor', 'bk', 'dprd', 'garut', 'kait', 'duga', 'langgar', 'etika', 'moral', 'buat', 'laku', 'kasar', 'keras', 'verbal', 'perempuan', 'ajak', 'narkotika', 'jenis', 'sabu', 'yousef', 'duga', 'suruh', 'upaya', 'aborsi', 'dt', 'tutup', 'yousef']",ancaman
8,"['yogyakarta', 'guru', 'universitas', 'islam', 'indonesia', 'uii', 'prof', 'ni', 'matul', 'huda', 'ambil', 'tindak', 'hukum', 'kait', 'teror', 'tuding', 'makar', 'sasar', 'ni', 'ma', 'kuasa', 'hukum', 'polda', 'diy', 'kemarin', 'lapor', 'kait', 'tuduh', 'gera', 'makar', 'hina', 'kelompok', 'sampah', 'ancam', 'wa', 'whatsapp', 'lapor', 'ni', 'ma', 'temu', 'wartawan', 'mapolda', 'diy', 'sleman', 'selasa', 'ni', 'ma', 'tuduh', 'makar', 'kait', 'narasumber', 'diskusi', 'tajuk', 'lurus', 'henti', 'presiden', 'tinjau', 'sistem', 'ketatanegaraan', 'rencana', 'selenggara', 'mahasiswa', 'fakultas', 'hukum', 'universitas', 'gadjah', 'mada', 'fh', 'ugm', 'gabung', 'constitutional', 'law', 'society', 'cls', 'diskusi', 'rencana', 'gelar', 'online', 'jumat', 'mei', 'batal', 'orang', 'orang', 'libat', 'dalam', 'teror', 'ancam', 'damping', 'kuasa', 'hukum', 'dekan', 'fh', 'uii', 'abdul', 'jamil', 'kolega', 'lapor', 'tuduh', 'makar', 'hina', 'teror', 'ancam', 'lapor', 'lapor', 'adu', 'ni', 'ma', 'aku', 'ancam', 'ancam', 'datang', 'orang', 'kenal', 'ancam', 'pesan', 'wa', 'ancam', 'whatsapp', 'rumah', 'lapor', 'simak', 'video', 'diskusi', 'makzul', 'jokowi', 'pandemi', 'ade', 'armando', 'ni', 'ma', 'dosen', 'ugm', 'adu', 'polisi', 'dosen', 'nama', 'bagas', 'pujilaksono', 'widyakanigara', 'adu', 'bagas', 'pujilaksono', 'widyakanigara', 'adu', 'kait', 'cemar', 'nama', 'langgar', 'uu', 'ite', 'fitnah', 'ni', 'ma', 'ni', 'ma', 'diskusi', 'laksana', 'jumat', 'bagas', 'keluar', 'nyata', 'bagas', 'tuduh', 'ni', 'ma', 'gera', 'makar', 'acara', 'nyata', 'bagas', 'pujilaksono', 'gera', 'makar', 'yogya', 'reaksi', 'kenal', 'orang', 'tulis', 'pikir', 'main', 'main', 'imbas', 'viralnya', 'statement', 'nya', 'mas', 'bagas', 'muncul', 'teror', 'ketua', 'tim', 'kuasa', 'hukum', 'ni', 'ma', 'mukmin', 'zakie', 'lapor', 'polda', 'diy', 'lapor', 'kait', 'teror', 'kait', 'cemar', 'nama', 'bagas', 'ditkrimsus', 'satu', 'ditkrimum', 'kriminal', 'adu', 'bagas', 'mukmin', 'cemar', 'nama', 'atur', 'pasal', 'ayat', 'uu', 'no', 'jo', 'pasal', 'kuhp', 'pidana', 'kawal', 'sempat', 'ni', 'ma', 'diskusi', 'judul', 'pecat', 'presiden', 'pandemi', 'tinjau', 'sistem', 'ketatanegaraan', 'judul', 'ganti', 'panitia', 'sorot', 'tor', 'panitia', 'impeachment', 'sejarah', 'impeachment', 'indonesia', 'impeachment', 'amandemen', 'uud', 'urai', 'ni', 'ma', 'makar', 'pandemi', 'jokowi', 'tor', 'nya', 'hubung', 'pisah', 'bagas', 'pujilaksono', 'widyakanigara', 'hubung', 'wartawan', 'enggan', 'komentar', 'kait', 'lapor', 'ni', 'ma', 'bicara', 'bagas', 'selasa', 'kasubdit', 'penmas', 'polda', 'diy', 'akbp', 'vena', 'sw', 'polisi', 'menindaklanjuti', 'lapor', 'ni', 'matul', 'huda', 'lapor', 'menindaklanjuti', 'vena']",ancaman
9,"['jakarta', 'wasekjen', 'partai', 'demokrat', 'pd', 'irwan', 'lapor', 'anggota', 'forum', 'komunikasi', 'diri', 'deklarator', 'fkpd', 'pd', 'subur', 'sembiring', 'polisi', 'subur', 'lapor', 'polisi', 'duga', 'ancam', 'urus', 'pd', 'kemarin', 'minggu', 'juni', 'polres', 'tangsel', 'lapor', 'dr', 'hc', 'subur', 'sembiring', 'duga', 'tindak', 'pidana', 'pasal', 'kuhp', 'pasal', 'ayat', 'jo', 'pasal', 'ayat', 'uu', 'ite', 'terima', 'polisi', 'proses', 'irwan', 'terang', 'tulis', 'senin', 'subur', 'lapor', 'polisi', 'nomor', 'lapor', 'tbl', 'k', 'vi', 'spkt', 'res', 'tangsel', 'irwan', 'subur', 'menggangu', 'pd', 'urus', 'pd', 'hasil', 'kongres', 'v', 'sk', 'menkum', 'ham', 'yasonna', 'laoly', 'subur', 'duga', 'ancam', 'anggota', 'dpr', 'ri', 'fraksi', 'pd', 'urus', 'dpd', 'dpc', 'pd', 'sebar', 'video', 'pendek', 'irwan', 'subur', 'henti', 'ganggu', 'pd', 'imbau', 'subur', 'sembiring', 'henti', 'buat', 'menggangu', 'rongrong', 'martabat', 'partai', 'demokrat', 'hadap', 'proses', 'hukum', 'adil', 'irwan', 'hubung', 'pisah', 'irwan', 'ancam', 'subur', 'urus', 'pd', 'irwan', 'sebut', 'subur', 'ambil', 'alih', 'pimpin', 'pd', 'inti', 'video', 'ambil', 'alih', 'pimpin', 'partai', 'demokrat', 'ancam', 'urus', 'pusat', 'daerah', 'arah', 'subur', 'ancam', 'anggota', 'fpd', 'ganti', 'jalan', 'imbuh', 'sikap', 'anggota', 'fkpd', 'pd', 'subur', 'sembiring', 'geram', 'kader', 'partai', 'lambang', 'logo', 'mercy', 'desa', 'tum', 'pd', 'agus', 'harimurti', 'yudhoyono', 'ahy', 'pecat', 'subur', 'kader', 'muncul', 'sekjen', 'fkpd', 'pd', 'akbar', 'yahya', 'yogerasi', 'akbar', 'nilai', 'sikap', 'subur', 'legalitas', 'ahy', 'tum', 'langgar', 'anggar', 'rumah', 'tangga', 'art', 'pd', 'sekjen', 'fkpd', 'pd', 'anggota', 'dewan', 'timbang', 'pd', 'usul', 'pimpin', 'partai', 'ketua', 'henti', 'subur', 'sembiring', 'cabut', 'kartu', 'tanda', 'anggota', 'partai', 'milik', 'subur', 'akbar', 'terang', 'tulis', 'kamis']",ancaman
